agency_cd	site_no	datetime	tz_cd	Height	219428_00065_cd
USGS	12213100	2/25/2022 5:30	PST	5.12	A
USGS	12213100	2/25/2022 5:45	PST	5.12	A
USGS	12213100	2/25/2022 6:00	PST	5.13	A
USGS	12213100	2/25/2022 6:15	PST	5.12	A
USGS	12213100	2/25/2022 6:30	PST	5.12	A
USGS	12213100	2/25/2022 6:45	PST	5.12	A
USGS	12213100	2/25/2022 7:00	PST	5.12	A
USGS	12213100	2/25/2022 7:15	PST	5.12	A
USGS	12213100	2/25/2022 7:30	PST	5.12	A
USGS	12213100	2/25/2022 7:45	PST	5.12	A
USGS	12213100	2/25/2022 8:00	PST	5.12	A
USGS	12213100	2/25/2022 8:15	PST	5.12	A
USGS	12213100	2/25/2022 8:30	PST	5.12	A
USGS	12213100	2/25/2022 8:45	PST	5.12	A
USGS	12213100	2/25/2022 9:00	PST	5.12	A
USGS	12213100	2/25/2022 9:15	PST	5.12	A
USGS	12213100	2/25/2022 9:30	PST	5.13	A
USGS	12213100	2/25/2022 9:45	PST	5.11	A
USGS	12213100	2/25/2022 10:00	PST	5.12	A
USGS	12213100	2/25/2022 10:15	PST	5.12	A
USGS	12213100	2/25/2022 10:30	PST	5.12	A
USGS	12213100	2/25/2022 10:45	PST	5.12	A
USGS	12213100	2/25/2022 11:00	PST	5.12	A
USGS	12213100	2/25/2022 11:15	PST	5.11	A
USGS	12213100	2/25/2022 11:30	PST	5.11	A
USGS	12213100	2/25/2022 11:45	PST	5.11	A
USGS	12213100	2/25/2022 12:00	PST	5.11	A
USGS	12213100	2/25/2022 12:15	PST	5.11	A
USGS	12213100	2/25/2022 12:30	PST	5.11	A
USGS	12213100	2/25/2022 12:45	PST	5.11	A
USGS	12213100	2/25/2022 13:00	PST	5.11	A
USGS	12213100	2/25/2022 13:15	PST	5.1	A
USGS	12213100	2/25/2022 13:30	PST	5.1	A
USGS	12213100	2/25/2022 13:45	PST	5.1	A
USGS	12213100	2/25/2022 14:00	PST	5.1	A
USGS	12213100	2/25/2022 14:15	PST	5.1	A
USGS	12213100	2/25/2022 14:30	PST	5.1	A
USGS	12213100	2/25/2022 14:45	PST	5.1	A
USGS	12213100	2/25/2022 15:00	PST	5.1	A
USGS	12213100	2/25/2022 15:15	PST	5.09	A
USGS	12213100	2/25/2022 15:30	PST	5.09	A
USGS	12213100	2/25/2022 15:45	PST	5.1	A
USGS	12213100	2/25/2022 16:00	PST	5.09	A
USGS	12213100	2/25/2022 16:15	PST	5.09	A
USGS	12213100	2/25/2022 16:30	PST	5.09	A
USGS	12213100	2/25/2022 16:45	PST	5.08	A
USGS	12213100	2/25/2022 17:00	PST	5.08	A
USGS	12213100	2/25/2022 17:15	PST	5.08	A
USGS	12213100	2/25/2022 17:30	PST	5.08	A
USGS	12213100	2/25/2022 17:45	PST	5.08	A
USGS	12213100	2/25/2022 18:00	PST	5.08	A
USGS	12213100	2/25/2022 18:15	PST	5.08	A
USGS	12213100	2/25/2022 18:30	PST	5.07	A
USGS	12213100	2/25/2022 18:45	PST	5.08	A
USGS	12213100	2/25/2022 19:00	PST	5.07	A
USGS	12213100	2/25/2022 19:15	PST	5.07	A
USGS	12213100	2/25/2022 19:30	PST	5.07	A
USGS	12213100	2/25/2022 19:45	PST	5.07	A
USGS	12213100	2/25/2022 20:00	PST	5.07	A
USGS	12213100	2/25/2022 20:15	PST	5.07	A
USGS	12213100	2/25/2022 20:30	PST	5.07	A
USGS	12213100	2/25/2022 20:45	PST	5.07	A
USGS	12213100	2/25/2022 21:00	PST	5.07	A
USGS	12213100	2/25/2022 21:15	PST	5.07	A
USGS	12213100	2/25/2022 21:30	PST	5.06	A
USGS	12213100	2/25/2022 21:45	PST	5.07	A
USGS	12213100	2/25/2022 22:00	PST	5.06	A
USGS	12213100	2/25/2022 22:15	PST	5.06	A
USGS	12213100	2/25/2022 22:30	PST	5.07	A
USGS	12213100	2/25/2022 22:45	PST	5.06	A
USGS	12213100	2/25/2022 23:00	PST	5.06	A
USGS	12213100	2/25/2022 23:15	PST	5.06	A
USGS	12213100	2/25/2022 23:30	PST	5.06	A
USGS	12213100	2/25/2022 23:45	PST	5.06	A
USGS	12213100	2/26/2022 0:00	PST	5.06	A
USGS	12213100	2/26/2022 0:15	PST	5.05	A
USGS	12213100	2/26/2022 0:30	PST	5.06	A
USGS	12213100	2/26/2022 0:45	PST	5.05	A
USGS	12213100	2/26/2022 1:00	PST	5.05	A
USGS	12213100	2/26/2022 1:15	PST	5.05	A
USGS	12213100	2/26/2022 1:30	PST	5.05	A
USGS	12213100	2/26/2022 1:45	PST	5.05	A
USGS	12213100	2/26/2022 2:00	PST	5.05	A
USGS	12213100	2/26/2022 2:15	PST	5.05	A
USGS	12213100	2/26/2022 2:30	PST	5.06	A
USGS	12213100	2/26/2022 2:45	PST	5.06	A
USGS	12213100	2/26/2022 3:00	PST	5.06	A
USGS	12213100	2/26/2022 3:15	PST	5.06	A
USGS	12213100	2/26/2022 3:30	PST	5.05	A
USGS	12213100	2/26/2022 3:45	PST	5.06	A
USGS	12213100	2/26/2022 4:00	PST	5.06	A
USGS	12213100	2/26/2022 4:15	PST	5.05	A
USGS	12213100	2/26/2022 4:30	PST	5.06	A
USGS	12213100	2/26/2022 4:45	PST	5.06	A
USGS	12213100	2/26/2022 5:00	PST	5.06	A
USGS	12213100	2/26/2022 5:15	PST	5.06	A
USGS	12213100	2/26/2022 5:30	PST	5.06	A
USGS	12213100	2/26/2022 5:45	PST	5.06	A
USGS	12213100	2/26/2022 6:00	PST	5.06	A
USGS	12213100	2/26/2022 6:15	PST	5.06	A
USGS	12213100	2/26/2022 6:30	PST	5.06	A
USGS	12213100	2/26/2022 6:45	PST	5.06	A
USGS	12213100	2/26/2022 7:00	PST	5.06	A
USGS	12213100	2/26/2022 7:15	PST	5.06	A
USGS	12213100	2/26/2022 7:30	PST	5.06	A
USGS	12213100	2/26/2022 7:45	PST	5.05	A
USGS	12213100	2/26/2022 8:00	PST	5.06	A
USGS	12213100	2/26/2022 8:15	PST	5.06	A
USGS	12213100	2/26/2022 8:30	PST	5.06	A
USGS	12213100	2/26/2022 8:45	PST	5.06	A
USGS	12213100	2/26/2022 9:00	PST	5.06	A
USGS	12213100	2/26/2022 9:15	PST	5.06	A
USGS	12213100	2/26/2022 9:30	PST	5.06	A
USGS	12213100	2/26/2022 9:45	PST	5.05	A
USGS	12213100	2/26/2022 10:00	PST	5.06	A
USGS	12213100	2/26/2022 10:15	PST	5.05	A
USGS	12213100	2/26/2022 10:30	PST	5.06	A
USGS	12213100	2/26/2022 10:45	PST	5.05	A
USGS	12213100	2/26/2022 11:00	PST	5.05	A
USGS	12213100	2/26/2022 11:15	PST	5.05	A
USGS	12213100	2/26/2022 11:30	PST	5.05	A
USGS	12213100	2/26/2022 11:45	PST	5.05	A
USGS	12213100	2/26/2022 12:00	PST	5.05	A
USGS	12213100	2/26/2022 12:15	PST	5.05	A
USGS	12213100	2/26/2022 12:30	PST	5.05	A
USGS	12213100	2/26/2022 12:45	PST	5.05	A
USGS	12213100	2/26/2022 13:00	PST	5.04	A
USGS	12213100	2/26/2022 13:15	PST	5.05	A
USGS	12213100	2/26/2022 13:30	PST	5.05	A
USGS	12213100	2/26/2022 13:45	PST	5.05	A
USGS	12213100	2/26/2022 14:00	PST	5.04	A
USGS	12213100	2/26/2022 14:15	PST	5.04	A
USGS	12213100	2/26/2022 14:30	PST	5.04	A
USGS	12213100	2/26/2022 14:45	PST	5.04	A
USGS	12213100	2/26/2022 15:00	PST	5.04	A
USGS	12213100	2/26/2022 15:15	PST	5.04	A
USGS	12213100	2/26/2022 15:30	PST	5.03	A
USGS	12213100	2/26/2022 15:45	PST	5.03	A
USGS	12213100	2/26/2022 16:00	PST	5.04	A
USGS	12213100	2/26/2022 16:15	PST	5.03	A
USGS	12213100	2/26/2022 16:30	PST	5.03	A
USGS	12213100	2/26/2022 16:45	PST	5.03	A
USGS	12213100	2/26/2022 17:00	PST	5.03	A
USGS	12213100	2/26/2022 17:15	PST	5.02	A
USGS	12213100	2/26/2022 17:30	PST	5.03	A
USGS	12213100	2/26/2022 17:45	PST	5.03	A
USGS	12213100	2/26/2022 18:00	PST	5.03	A
USGS	12213100	2/26/2022 18:15	PST	5.03	A
USGS	12213100	2/26/2022 18:30	PST	5.03	A
USGS	12213100	2/26/2022 18:45	PST	5.03	A
USGS	12213100	2/26/2022 19:00	PST	5.03	A
USGS	12213100	2/26/2022 19:15	PST	5.03	A
USGS	12213100	2/26/2022 19:30	PST	5.03	A
USGS	12213100	2/26/2022 19:45	PST	5.03	A
USGS	12213100	2/26/2022 20:00	PST	5.03	A
USGS	12213100	2/26/2022 20:15	PST	5.04	A
USGS	12213100	2/26/2022 20:30	PST	5.04	A
USGS	12213100	2/26/2022 20:45	PST	5.04	A
USGS	12213100	2/26/2022 21:00	PST	5.04	A
USGS	12213100	2/26/2022 21:15	PST	5.05	A
USGS	12213100	2/26/2022 21:30	PST	5.04	A
USGS	12213100	2/26/2022 21:45	PST	5.04	A
USGS	12213100	2/26/2022 22:00	PST	5.04	A
USGS	12213100	2/26/2022 22:15	PST	5.04	A
USGS	12213100	2/26/2022 22:30	PST	5.04	A
USGS	12213100	2/26/2022 22:45	PST	5.04	A
USGS	12213100	2/26/2022 23:00	PST	5.04	A
USGS	12213100	2/26/2022 23:15	PST	5.03	A
USGS	12213100	2/26/2022 23:30	PST	5.03	A
USGS	12213100	2/26/2022 23:45	PST	5.04	A
USGS	12213100	2/27/2022 0:00	PST	5.03	A
USGS	12213100	2/27/2022 0:15	PST	5.05	A
USGS	12213100	2/27/2022 0:30	PST	5.03	A
USGS	12213100	2/27/2022 0:45	PST	5.04	A
USGS	12213100	2/27/2022 1:00	PST	5.04	A
USGS	12213100	2/27/2022 1:15	PST	5.05	A
USGS	12213100	2/27/2022 1:30	PST	5.07	A
USGS	12213100	2/27/2022 1:45	PST	5.06	A
USGS	12213100	2/27/2022 2:00	PST	5.04	A
USGS	12213100	2/27/2022 2:15	PST	5.06	A
USGS	12213100	2/27/2022 2:30	PST	5.06	A
USGS	12213100	2/27/2022 2:45	PST	5.06	A
USGS	12213100	2/27/2022 3:00	PST	5.07	A
USGS	12213100	2/27/2022 3:15	PST	5.05	A
USGS	12213100	2/27/2022 3:30	PST	5.07	A
USGS	12213100	2/27/2022 3:45	PST	5.08	A
USGS	12213100	2/27/2022 4:00	PST	5.07	A
USGS	12213100	2/27/2022 4:15	PST	5.07	A
USGS	12213100	2/27/2022 4:30	PST	5.11	A
USGS	12213100	2/27/2022 4:45	PST	5.09	A
USGS	12213100	2/27/2022 5:00	PST	5.08	A
USGS	12213100	2/27/2022 5:15	PST	5.1	A
USGS	12213100	2/27/2022 5:30	PST	5.11	A
USGS	12213100	2/27/2022 5:45	PST	5.11	A
USGS	12213100	2/27/2022 6:00	PST	5.1	A
USGS	12213100	2/27/2022 6:15	PST	5.11	A
USGS	12213100	2/27/2022 6:30	PST	5.12	A
USGS	12213100	2/27/2022 6:45	PST	5.13	A
USGS	12213100	2/27/2022 7:00	PST	5.11	A
USGS	12213100	2/27/2022 7:15	PST	5.11	A
USGS	12213100	2/27/2022 7:30	PST	5.11	A
USGS	12213100	2/27/2022 7:45	PST	5.12	A
USGS	12213100	2/27/2022 8:00	PST	5.13	A
USGS	12213100	2/27/2022 8:15	PST	5.12	A
USGS	12213100	2/27/2022 8:30	PST	5.13	A
USGS	12213100	2/27/2022 8:45	PST	5.13	A
USGS	12213100	2/27/2022 9:00	PST	5.14	A
USGS	12213100	2/27/2022 9:15	PST	5.13	A
USGS	12213100	2/27/2022 9:30	PST	5.14	A
USGS	12213100	2/27/2022 9:45	PST	5.15	A
USGS	12213100	2/27/2022 10:00	PST	5.14	A
USGS	12213100	2/27/2022 10:15	PST	5.15	A
USGS	12213100	2/27/2022 10:30	PST	5.16	A
USGS	12213100	2/27/2022 10:45	PST	5.17	A
USGS	12213100	2/27/2022 11:00	PST	5.18	A
USGS	12213100	2/27/2022 11:15	PST	5.19	A
USGS	12213100	2/27/2022 11:30	PST	5.19	A
USGS	12213100	2/27/2022 11:45	PST	5.2	A
USGS	12213100	2/27/2022 12:00	PST	5.21	A
USGS	12213100	2/27/2022 12:15	PST	5.22	A
USGS	12213100	2/27/2022 12:30	PST	5.23	A
USGS	12213100	2/27/2022 12:45	PST	5.24	A
USGS	12213100	2/27/2022 13:00	PST	5.25	A
USGS	12213100	2/27/2022 13:15	PST	5.25	A
USGS	12213100	2/27/2022 13:30	PST	5.26	A
USGS	12213100	2/27/2022 13:45	PST	5.27	A
USGS	12213100	2/27/2022 14:00	PST	5.28	A
USGS	12213100	2/27/2022 14:15	PST	5.28	A
USGS	12213100	2/27/2022 14:30	PST	5.29	A
USGS	12213100	2/27/2022 14:45	PST	5.31	A
